2026-05-07 08:18:29 | INFO    | LibraryTestRunner | run_full_flow: query='qzxasdf123nonexistent999', max_year=2000, limit=5
2026-05-07 08:18:29 | INFO    | SearchService | Searching for 'qzxasdf123nonexistent999', max_year=2000, limit=5
2026-05-07 08:18:29 | INFO    | HomePage | Navigating to https://openlibrary.org/
2026-05-07 08:18:33 | INFO    | HomePage | Searching for: 'qzxasdf123nonexistent999'
2026-05-07 08:18:34 | INFO    | HomePage | Navigation to search results complete
2026-05-07 08:18:34 | INFO    | SearchResultsPage | No result items on this page (empty state)
2026-05-07 08:18:34 | INFO    | SearchService | Empty page — stopping pagination
2026-05-07 08:18:34 | INFO    | SearchService | Done. Returning 0 results (visited 1 page(s))
2026-05-07 08:18:34 | INFO    | LibraryTestRunner | Found 0 books
2026-05-07 08:18:34 | INFO    | LoginPage | Navigating to https://openlibrary.org/account/login
2026-05-07 08:18:35 | INFO    | LoginPage | Logging in as 'shragae120@gmail.com'
2026-05-07 08:18:40 | INFO    | LoginPage | Login successful (no error banner appeared)
2026-05-07 08:18:40 | INFO    | ReadingListService | Session established
2026-05-07 08:18:40 | INFO    | ReadingListService | Completed: 0/0 books processed successfully
2026-05-07 08:18:40 | WARNING | LibraryTestRunner | No books were added successfully — skipping verification
2026-05-07 08:18:40 | INFO    | PerformanceService | Performance report written: reports\performance_report.json
2026-05-07 08:18:40 | INFO    | LibraryTestRunner | Flow complete: {'query': 'qzxasdf123nonexistent999', 'max_year': 2000, 'urls_found': 0, 'urls_added': 0, 'urls_failed': 0, 'want_to_read_count': 0, 'already_read_count': 0, 'currently_reading_count': 0, 'reading_list_count': 0, 'verification_passed': False, 'performance_report_path': 'reports\\performance_report.json'}
